hero_name,role,win_rate,pick_rate,ban_rate,release_year
Terizla,fighter,0.174064403829417,0.027322404371584695,0.0,0.5999999999999659
Martis,fighter,0.0,0.027322404371584695,0.0,0.39999999999997726
Grock,tank,0.23411662315056558,0.02459016393442623,0.0,0.19999999999998863
Carmilla,support,0.7624020887728453,0.008196721311475407,0.0,0.7999999999999545
Irithel,marksman,0.5674499564838995,0.0901639344262295,0.00016321201240411298,0.19999999999998863
Thamuz,fighter,0.2080069625761536,0.07650273224043715,0.00016321201240411298,0.39999999999997726
Leomord,fighter,0.4438642297650133,0.07103825136612021,0.00016321201240411298,0.39999999999997726
Lunox,mage,0.3951261966927766,0.05191256830601092,0.00016321201240411298,0.39999999999997726
Aurora,mage,0.2550043516100957,0.04918032786885246,0.00016321201240411298,0.19999999999998863
Minsitthar,fighter,0.48215839860748444,0.032786885245901634,0.00016321201240411298,0.39999999999997726
Alpha,fighter,0.30461270670147966,0.05464480874316939,0.0003264240248082259,0.19999999999998863
Kimmy,marksman,0.8015665796344646,0.03005464480874316,0.0003264240248082259,0.39999999999997726
Vexana,mage,0.4760661444734553,0.01366120218579235,0.0003264240248082259,0.19999999999998863
Karrie,marksman,0.01653611836379465,0.18306010928961747,0.000489636037212339,0.19999999999998863
Ruby,fighter,0.6370757180156654,0.12568306010928962,0.000489636037212339,0.19999999999998863
Belerick,tank,0.6579634464751956,0.0983606557377049,0.000489636037212339,0.39999999999997726
Lolita,tank,0.9999999999999996,0.021857923497267756,0.000489636037212339,0.0
Akai,tank,0.3724978241949519,0.15300546448087432,0.0006528480496164519,0.0
Moskov,marksman,0.37162750217580554,0.11748633879781419,0.0006528480496164519,0.19999999999998863
Freya,fighter,0.5630983463881631,0.0901639344262295,0.0006528480496164519,0.0
Harith,mage,0.25413402959094844,0.07103825136612021,0.0006528480496164519,0.39999999999997726
X.Borg,fighter,0.32724107919930345,0.2568306010928961,0.0008160600620205649,0.5999999999999659
Dyrroth,fighter,0.09660574412532652,0.22404371584699453,0.0008160600620205649,0.5999999999999659
Faramis,support,0.4604003481288079,0.0,0.0008160600620205649,0.5999999999999659
Hylos,tank,0.7310704960835506,0.1912568306010929,0.0009792720744246778,0.19999999999998863
Clint,marksman,0.42993907745865956,0.180327868852459,0.0009792720744246778,0.0
Lylia,mage,0.7502175805047862,0.09562841530054644,0.0009792720744246778,0.5999999999999659
Gord,mage,0.45604873803307244,0.11748633879781419,0.0011424840868287907,0.0
Masha,fighter,0.7946040034812882,0.06830601092896174,0.0011424840868287907,0.5999999999999659
Minotaur,tank,0.6344647519582245,0.04371584699453551,0.0011424840868287907,0.0
Cyclops,mage,0.6118363794604007,0.2786885245901639,0.0013056960992329039,0.19999999999998863
Baxia,tank,0.744125326370757,0.10655737704918031,0.0013056960992329039,0.5999999999999659
Khaleed,fighter,0.6475195822454309,0.09289617486338797,0.0013056960992329039,0.7999999999999545
Bane,fighter,0.23150565709312376,0.021857923497267756,0.0013056960992329039,0.0
Bruno,marksman,0.343777197563099,0.30054644808743164,0.0014689081116370166,0.0
Kagura,mage,0.6997389033942558,0.180327868852459,0.0014689081116370166,0.0
Kaja,support,0.5744125326370759,0.032786885245901634,0.0014689081116370166,0.39999999999997726
Popol and Kupa,marksman,0.38294168842471654,0.07377049180327867,0.0016321201240411297,0.7999999999999545
Argus,fighter,0.8059181897302001,0.0983606557377049,0.0017953321364452424,0.19999999999998863
Badang,fighter,0.41601392515230673,0.27595628415300544,0.0019585441488493556,0.5999999999999659
Lapu Lapu,fighter,0.35944299390774637,0.19398907103825136,0.0021217561612534683,0.19999999999998863
Hilda,fighter,0.18102697998259343,0.12021857923497266,0.0021217561612534683,0.19999999999998863
Roger,fighter,0.2898172323759787,0.2595628415300546,0.0022849681736575814,0.19999999999998863
Odette,mage,0.36466492602262823,0.1912568306010929,0.0022849681736575814,0.19999999999998863
Valir,mage,0.4386422976501305,0.15846994535519124,0.0022849681736575814,0.39999999999997726
Granger,marksman,0.20626631853785904,0.37704918032786877,0.0024481801860616946,0.5999999999999659
